Reporting Country/ Territory/Area	Total confirmed cases	Total confirmed new cases	Total deaths	Total new deaths
South Africa	14,355	831	261	14
Algeria	6,821	191	542	6
Ghana	5,735	97	29	1
Nigeria	5,621	171	176	5
Cameroon	3,047	0	139	0
Guinea	2,658	127	16	1
Senegal	2,429	119	25	2
Côte d’Ivoire	2,061	44	25	1
Democratic Republic of the Congo	1,454	85	60	0
Gabon	1,320	111	11	1
Guinea-Bissau	913	0	3	0
Niger	889	4	51	0
Mali	835	29	48	2
Kenya	830	49	50	4
Burkina Faso	782	2	51	0
Equatorial Guinea	690	96	7	0
Zambia	679	11	7	0
United Republic of Tanzania	509	0	21	0
Chad	474	46	50	2
Sierra Leone	462	15	29	2
Congo	391	0	15	0
Benin	339	0	2	0
Mauritius	332	0	10	0
Cabo Verde	328	2	3	1
Ethiopia	306	19	5	0
Central African Republic	301	0	0	0
Togo	298	35	11	0
Rwanda	289	2	0	0
Madagascar	283	45	0	0
South Sudan	231	0	1	0
Uganda	227	24	0	0
Liberia	223	4	20	0
Eswatini	202	12	2	0
São Tomé and Príncipe	169	3	7	0
Mozambique	129	10	0	0
Malawi	65	2	3	0
Angola	48	0	2	0
Zimbabwe	44	2	4	0
Mauritania	40	11	4	1
Eritrea	39	0	0	0
Burundi	27	0	1	0
Botswana	25	1	1	0
Gambia	23	0	1	0
Namibia	16	0	0	0
Comoros	11	0	1	0
Seychelles	11	0	0	0
Lesotho	1	0	0	0
Mayotte	1,258	0	16	0
Réunion	443	2	0	0
United States of America	1,409,452	27,090	85,860	2,041
Brazil	218,223	15,305	14,817	824
Peru	84,495	3,891	2,392	125
Canada	74,993	1,164	5,595	96
Mexico	45,032	2,437	4,767	290
Chile	41,428	4,388	421	53
Ecuador	31,467	965	2,594	256
Colombia	14,216	606	546	21
Dominican Republic	12,110	371	428	4
Panama	9,268	150	266	6
Argentina	7,479	345	363	10
Bolivia (Plurinational State of)	3,577	205	164	12
Honduras	2,460	142	134	1
Cuba	1,862	22	79	0
Guatemala	1,643	125	30	1
El Salvador	1,265	55	25	2
Costa Rica	843	13	8	0
Paraguay	778	19	11	0
Uruguay	732	8	19	0
Jamaica	511	2	9	0
Venezuela (Bolivarian Republic of)	504	49	10	0
Haiti	310	37	20	0
Guyana	116	3	10	0
Trinidad and Tobago	116	0	8	0
Bahamas	96	0	11	0
Barbados	85	0	7	0
Antigua and Barbuda	25	0	3	0
Nicaragua	25	0	8	0
Grenada	22	0	0	0
Belize	18	0	2	0
Saint Lucia	18	0	0	0
Saint Vincent and the Grenadines	17	0	0	0
Dominica	16	0	0	0
Saint Kitts and Nevis	15	0	0	0
Suriname	10	0	1	0
Puerto Rico	2,589	47	122	0
Martinique	192	3	14	0
French Guiana	189	5	1	0
Guadeloupe	155	0	13	0
Bermuda	123	1	9	0
Aruba	101	0	3	0
Cayman Islands	94	1	1	0
Sint Maarten	78	0	15	0
United States Virgin Islands	69	0	6	0
Saint Martin	39	0	3	0
Curaçao	16	0	1	0
Falkland Islands (Malvinas)	13	0	0	0
Turks and Caicos Islands	12	0	1	0
Montserrat	11	0	1	0
British Virgin Islands	8	0	1	0
Bonaire, Sint Eustatius and Saba	6	0	0	0
Saint Barthélemy	6	0	0	0
Anguilla	3	0	0	0
Saint Pierre and Miquelon	1	0	0	0
Eastern Mediterranean				
